规格书编号,客户名称,产品,客户特征,参数编号,参数名称,参数类别,单位,客户要求值,内部基线值,是否存在差异,差异方向,差异说明
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-06,盐雾试验,环境耐久,h,2000,720,是,高于,客户要求2000h盐雾，内部720h
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-07,高温高湿试验,环境耐久,h,3000,1000,是,高于,客户要求3000h温湿，内部1000h
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-08,温度循环次数,环境耐久,次,2000,500,是,高于,客户要求2000次温循，内部500次
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-09,耐振动(随机),环境耐久,Grms,12.0,5.0,是,高于,客户要求12Grms振动，内部5Grms
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,ENV-10,紫外线老化,环境耐久,h,2000,2000,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-01,灯罩冲击强度,机械性能,J,15,15,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-03,安装点拔出力,机械性能,N,500,300,是,高于,客户要求500N拔出力，内部300N
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-05,调节电机寿命,机械性能,万次,5,5,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-06,整灯重量上限,机械性能,kg,5.0,3.5,是,低于,商用车允许≤5.0kg（内部3.5kg）
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,EMC-01,静电放电(接触),EMC电磁兼容,kV,±4,±4,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,±8,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REG-01,中国CCC认证,法规认证,要求,必须,必须,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REG-02,欧洲ECE R149,法规认证,要求,必须,必须,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REG-03,美国SAE J1383,法规认证,要求,可选,可选,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REG-04,功能安全ASIL等级,法规认证,等级,ASIL B,ASIL B,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REG-05,网络安全要求,法规认证,要求,ISO 21434,ISO 21434,否,一致,
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REL-01,设计寿命,可靠性,h,30000,10000,是,高于,客户要求30000h寿命，内部10000h
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REL-02,LED光衰标准(L70),可靠性,h,20000,8000,是,高于,客户要求L70达20000h，内部8000h
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REL-03,PCBA MTBF,可靠性,h,150000,50000,是,高于,客户要求150000h MTBF，内部50000h
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REL-04,调光电机耐久,可靠性,万次,30,10,是,高于,客户要求调光电机30万次，内部10万次
SPEC-006,某欧洲商用车品牌（项目代号T1）,前大灯总成（商用车长寿命型）,欧洲商用车品牌，强调超长寿命和高振动耐受,REL-05,整车质保期,可靠性,年,3,3,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-01,近光光通量,光学性能,lm,1200,1200,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-02,远光光通量,光学性能,lm,1800,1800,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-03,近光中心照度,光学性能,lx@25m,45,45,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-05,近光截止线清晰度,光学性能,%,80,85,是,低于,客户要求80%截止线，低于内部85%
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-06,近光截止线水平偏移,光学性能,°,0.5,0.5,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-07,色温范围,光学性能,K,5500-6500,5500-6500,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-08,日行灯亮度,光学性能,cd,300,300,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,OPT-10,光型均匀度,光学性能,%,75,75,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-01,额定工作电压,电气性能,V,12,12,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-02,工作电压范围,电气性能,V,9-16,9-16,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-03,近光功耗,电气性能,W,35,35,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-04,远光功耗,电气性能,W,55,55,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-05,待机功耗,电气性能,mA,2,2,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-07,CAN通信速率,电气性能,kbps,500,500,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-01,最低工作温度,环境耐久,°C,-40,-40,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-02,最高工作温度,环境耐久,°C,85,85,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-06,盐雾试验,环境耐久,h,480,720,是,低于,客户要求480h盐雾，低于内部720h
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-07,高温高湿试验,环境耐久,h,720,1000,是,低于,客户要求720h温湿，低于内部1000h
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-08,温度循环次数,环境耐久,次,500,500,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-09,耐振动(随机),环境耐久,Grms,3.5,5.0,是,低于,客户要求3.5Grms，低于内部5Grms
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,ENV-10,紫外线老化,环境耐久,h,1200,2000,是,低于,客户要求1200h紫外，低于内部2000h
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-01,灯罩冲击强度,机械性能,J,12,15,是,低于,客户要求12J冲击，低于内部15J
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-03,安装点拔出力,机械性能,N,300,300,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-05,调节电机寿命,机械性能,万次,5,5,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-06,整灯重量上限,机械性能,kg,3.5,3.5,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,EMC-01,静电放电(接触),EMC电磁兼容,kV,±2,±4,是,低于,客户要求±2kV，低于内部±4kV
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,±8,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 2,Class 3,是,低于,客户要求Class 2，内部Class 3
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REG-01,中国CCC认证,法规认证,要求,必须,必须,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REG-02,欧洲ECE R149,法规认证,要求,必须,必须,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REG-03,美国SAE J1383,法规认证,要求,可选,可选,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REG-04,功能安全ASIL等级,法规认证,等级,QM,ASIL B,是,低于,客户仅要求QM等级，内部为ASIL B
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REG-05,网络安全要求,法规认证,要求,ISO 21434,ISO 21434,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REL-01,设计寿命,可靠性,h,8000,10000,是,低于,客户要求8000h，低于内部10000h
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REL-02,LED光衰标准(L70),可靠性,h,8000,8000,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REL-03,PCBA MTBF,可靠性,h,30000,50000,是,低于,客户要求30000h MTBF，低于内部50000h
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REL-04,调光电机耐久,可靠性,万次,10,10,否,一致,
SPEC-007,某自主品牌传统车企（项目代号C1）,前大灯总成（LED远近光一体）,国内传统车企，成本敏感，部分参数要求低于基线,REL-05,整车质保期,可靠性,年,3,3,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-01,近光光通量,光学性能,lm,1000,1200,是,低于,客户要求1000lm，低于内部1200lm
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-02,远光光通量,光学性能,lm,1800,1800,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-03,近光中心照度,光学性能,lx@25m,35,45,是,低于,客户要求35lx，低于内部45lx
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-04,远光中心照度,光学性能,lx@25m,120,120,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-05,近光截止线清晰度,光学性能,%,85,85,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-06,近光截止线水平偏移,光学性能,°,0.5,0.5,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-07,色温范围,光学性能,K,5500-6500,5500-6500,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-08,日行灯亮度,光学性能,cd,300,300,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-09,转向灯亮度,光学性能,cd,150,150,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,OPT-10,光型均匀度,光学性能,%,75,75,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-01,额定工作电压,电气性能,V,12,12,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-02,工作电压范围,电气性能,V,9-16,9-16,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-03,近光功耗,电气性能,W,35,35,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-04,远光功耗,电气性能,W,55,55,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-05,待机功耗,电气性能,mA,2,2,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-06,浪涌电流,电气性能,A,15,15,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-07,CAN通信速率,电气性能,kbps,500,500,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ELE-08,LIN通信速率,电气性能,kbps,19.2,19.2,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-01,最低工作温度,环境耐久,°C,-20,-40,是,低于,客户要求-20°C（热带气候），高于内部-40°C
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-02,最高工作温度,环境耐久,°C,75,85,是,低于,客户要求75°C（印度高温但设计保守），低于内部85°C
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-03,存储温度下限,环境耐久,°C,-40,-40,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-04,存储温度上限,环境耐久,°C,105,105,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-05,防护等级,环境耐久,IP等级,IP67,IP67,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-06,盐雾试验,环境耐久,h,360,720,是,低于,客户要求360h盐雾，低于内部720h
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-07,高温高湿试验,环境耐久,h,1000,1000,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-08,温度循环次数,环境耐久,次,500,500,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-09,耐振动(随机),环境耐久,Grms,2.5,5.0,是,低于,客户要求2.5Grms，低于内部5Grms
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,ENV-10,紫外线老化,环境耐久,h,1000,2000,是,低于,客户要求1000h紫外，低于内部2000h
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-01,灯罩冲击强度,机械性能,J,15,15,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-02,壳体弯曲刚度,机械性能,N/mm,50,50,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-03,安装点拔出力,机械性能,N,300,300,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-04,连接器插拔力,机械性能,N,80,80,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-05,调节电机寿命,机械性能,万次,5,5,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-06,整灯重量上限,机械性能,kg,4.5,3.5,是,低于,客户要求≤4.5kg，内部3.5kg
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-07,跌落试验高度,机械性能,cm,60,60,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,MEC-08,紧固件扭矩,机械性能,N·m,8,8,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,EMC-01,静电放电(接触),EMC电磁兼容,kV,±2,±4,是,低于,客户要求±2kV，低于内部±4kV
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,EMC-02,静电放电(空气),EMC电磁兼容,kV,±8,±8,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,EMC-03,传导骚扰限值,EMC电磁兼容,等级,Class 2,Class 3,是,低于,客户要求Class 2，低于内部Class 3
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,EMC-04,辐射骚扰限值,EMC电磁兼容,等级,Class 3,Class 3,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,EMC-05,电源瞬态抗扰度,EMC电磁兼容,等级,Level 3,Level 3,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REG-01,中国CCC认证,法规认证,要求,不要求,必须,是,不同,印度市场不要求CCC
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REG-02,欧洲ECE R149,法规认证,要求,不要求,必须,是,不同,印度市场不要求ECE
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REG-03,美国SAE J1383,法规认证,要求,不要求,可选,是,不同,印度市场不使用SAE
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REG-04,功能安全ASIL等级,法规认证,等级,ASIL B,ASIL B,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REG-05,网络安全要求,法规认证,要求,ISO 21434,ISO 21434,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REL-01,设计寿命,可靠性,h,6000,10000,是,低于,客户要求6000h，低于内部10000h
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REL-02,LED光衰标准(L70),可靠性,h,8000,8000,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REL-03,PCBA MTBF,可靠性,h,50000,50000,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REL-04,调光电机耐久,可靠性,万次,10,10,否,一致,
SPEC-008,某印度品牌（项目代号I1）,前大灯总成（经济型LED）,印度品牌，法规标准不同，部分参数差异大,REL-05,整车质保期,可靠性,年,3,3,否,一致,
SPEC-009,某高端超跑品牌（项目代号S1）,前大灯总成（激光远光+LED近光）,超跑品牌，极端光学性能和工作温度要求,OPT-01,近光光通量,光学性能,lm,2500,1200,是,高于,客户要求近光2500lm，内部仅1200lm
SPEC-009,某高端超跑品牌（项目代号S1）,前大灯总成（激光远光+LED近光）,超跑品牌，极端光学性能和工作温度要求,OPT-02,远光光通量,光学性能,lm,4000,1800,是,高于,客户要求远光4000lm，内部仅1800lm
SPEC-009,某高端超跑品牌（项目代号S1）,前大灯总成（激光远光+LED近光）,超跑品牌，极端光学性能和工作温度要求,OPT-03,近光中心照度,光学性能,lx@25m,80,45,是,高于,客户要求80lx近光照度，内部仅45lx
SPEC-009,某高端超跑品牌（项目代号S1）,前大灯总成（激光远光+LED近光）,超跑品牌，极端光学性能和工作温度要求,OPT-04,远光中心照度,光学性能,lx@25m,250,120,是,高于,客户要求250lx远光照度，内部仅120lx
SPEC-009,某高端超跑品牌（项目代号S1）,前大灯总成（激光远光+LED近光）,超跑品牌，极端光学性能和工作温度要求,OPT-05,近光截止线清晰度,光学性能,%,85,85,否,一致,
